strain	species	genus	genomospecies	host	host_type	opine_type	year_isolated	plasmid_class	plasmid_type	ncbi_accession	mlsa_node_id	beast_node_id
Rhizobium rhizogenes P1/75	Rhizobium rhizogenes	Rhizobium	Biovar 2	Dahlia	Herbaceous	Octopine/Agropine	1975	Ti	Type II	SAMN14165545	P1_75__BV2	P1_75
Agrobacterium tumefaciens Y2/73	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Dahlia	Herbaceous	Succinamopine/Agropine	1973	Ti	Type III	SAMN14165546	Y2_73__BV1	Y2_73
Rhizobium rhizogenes B49C/83	Rhizobium rhizogenes	Rhizobium	Biovar 2	Apple	Woody	Agrocinopine/Agropine	1983	Ti	Type Ib	SAMN14165547	B49C_83__BV2	B49C_83
Rhizobium rhizogenes D10b/87	Rhizobium rhizogenes	Rhizobium	Biovar 2	Apple	Woody	Nopaline	1987	Ti	Type Ia	SAMN14165548	D10b_87__BV2	D10b_87
Rhizobium rhizogenes AR13K/71	Rhizobium rhizogenes	Rhizobium	Biovar 2	Crabapple	Woody	Succinamopine-like	1971	Ri	(Ri) Type II	SAMN14165549	AR13K_71__BV2	AR13K_71
Agrobacterium tumefaciens 06-478 st	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Shasta Daisy	Herbaceous	Nopaline/Chrysopine	2006	Ti	Type III	SAMN14165551	06-478_st__BV1	06-478_st
Agrobacterium tumefaciens YO0101	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Aster	Herbaceous	Octopine/Agropine	2002	Ti	Type II	SAMN14165552	YO0101__BV1	YO0101
Agrobacterium tumefaciens 06-777-2L	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Marguerite Daisy	Herbaceous	NA	2006	NA	None	SAMN14165553	06-777-2L__BV1	06-777-2L
Agrobacterium tumefaciens 06-617-1	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Marguerite Daisy	Herbaceous	Nopaline/Chrysopine	2006	Ti	Type III	SAMN14165554	06-617-1__BV1	06-617-1
Agrobacterium tumefaciens A51	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Yarrow	Herbaceous	Nopaline/Chrysopine	2002	Ti	Type III	SAMN14165555	A51__BV1	A51
Agrobacterium tumefaciens A74a	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Lavender	Herbaceous	NA	2003	NA	None	SAMN14165556	A74a__BV1	A74a
Agrobacterium tumefaciens 14-818c	Agrobacterium tumefaciens	Agrobacterium	Biovar 1	Russian Sage	Herbaceous	Nopaline/Chrysopine	NA	Ti	Type III	SAMN14165557	14-818c__BV1	14-818c
Allorhizobium vitis S4	Allorhizobium vitis	Allorhizobium	Biovar 3	Grape	Grape (Woody)	Vitopine/Nopaline	NA	NA	Type V	CP000637.1	S4__BV3	S4
